sample,bio,tech,species,nReads
CP_201708,A,3,Dictyocha speculum,58
CP_201708,A,3,Heterocapsa rotundata,19
CP_201708,A,3,Membranipora membranacea,5
CP_201708,A,3,Micromonas pusilla,219
CP_201708,A,3,Minutocellus polymorphus,340
CP_201708,A,3,Phaeocystis antarctica,513
CP_201708,A,3,Phaeocystis globosa,6
CP_201708,A,3,Pseudo-nitzschia hasleana,84
CP_201708,A,3,Pseudocalanus newmani,400
CP_201708,A,3,Pycnococcus provasolii,44
CP_201708,A,3,Pythium tracheiphilum,14
CP_201708,A,3,Rhizosolenia setigera,157
CP_201708,A,3,Thalassiosira nordenskioeldii,402
CP_201708,A,3,NA,8349
CP_201708,B,1,Acartia californiensis,79
CP_201708,B,1,Acartia longiremis,5702
CP_201708,B,1,Asterionellopsis glacialis,71
CP_201708,B,1,Asterionellopsis guyunusae,11
CP_201708,B,1,Asterionellopsis tropicalis,19
CP_201708,B,1,Attheya longicornis,41
CP_201708,B,1,Azumapecten farreri,7
CP_201708,B,1,Bathycoccus prasinos,991
CP_201708,B,1,Blastocladiella emersonii,72
CP_201708,B,1,Bougainvillia muscus,62
CP_201708,B,1,Calanus pacificus,63
CP_201708,B,1,Centropages abdominalis,3
CP_201708,B,1,Chaetoceros socialis,292
CP_201708,B,1,Chaetoceros sp. MBTD-CMFRI-S062,1280
CP_201708,B,1,Chattonella subsalsa,15
CP_201708,B,1,Chondracanthus exasperatus,58
CP_201708,B,1,Compsomyax subdiaphana,4
CP_201708,B,1,Coryne eximia,43
CP_201708,B,1,Coscinodiscus wailesii,86
CP_201708,B,1,Cylindrotheca closterium,17
CP_201708,B,1,Dictyocha speculum,787
CP_201708,B,1,Emiliania huxleyi,48
CP_201708,B,1,Eucampia zodiacus,12
CP_201708,B,1,Heterocapsa rotundata,54
CP_201708,B,1,Mazzaella splendens,3
CP_201708,B,1,Membranipora membranacea,93
CP_201708,B,1,Micromonas pusilla,1426
CP_201708,B,1,Minutocellus polymorphus,1220
CP_201708,B,1,Muggiaea atlantica,58
CP_201708,B,1,Mytilus trossulus,160
CP_201708,B,1,Paracalanus sp. C AC-2013,86
CP_201708,B,1,Phaeocystis antarctica,7394
CP_201708,B,1,Phaeocystis globosa,29
CP_201708,B,1,Poteriospumella lacustris,14
CP_201708,B,1,Protoperidinium cf. depressum,172
CP_201708,B,1,Pseudo-nitzschia delicatissima,42
CP_201708,B,1,Pseudo-nitzschia hasleana,558
CP_201708,B,1,Pseudocalanus moultoni,4
CP_201708,B,1,Pseudocalanus newmani,9066
CP_201708,B,1,Pythium sp. CAL-2011c,3
CP_201708,B,1,Pythium tracheiphilum,81
CP_201708,B,1,Rhizosolenia setigera,1211
CP_201708,B,1,Sellaphora bacillum,72
CP_201708,B,1,Styela gibbsii,615
CP_201708,B,1,Thalassiosira nordenskioeldii,1217
CP_201708,B,1,Thalassiosira punctigera,6
CP_201708,B,1,Triparma laevis,41
CP_201708,B,1,NA,51124
CP_201708,B,2,Acartia longiremis,826
CP_201708,B,2,Asterionellopsis glacialis,7
CP_201708,B,2,Bathycoccus prasinos,29
CP_201708,B,2,Chaetoceros socialis,54
CP_201708,B,2,Chaetoceros sp. MBTD-CMFRI-S062,212
CP_201708,B,2,Chattonella subsalsa,4
CP_201708,B,2,Chrysochromulina sp. CCMP291,15
CP_201708,B,2,Coscinodiscus wailesii,3
CP_201708,B,2,Dictyocha speculum,43
CP_201708,B,2,Membranipora membranacea,41
CP_201708,B,2,Micromonas pusilla,468
CP_201708,B,2,Minutocellus polymorphus,700
CP_201708,B,2,Paracalanus sp. C AC-2013,4
CP_201708,B,2,Phaeocystis antarctica,1230
CP_201708,B,2,Pseudo-nitzschia hasleana,28
CP_201708,B,2,Pseudocalanus newmani,1653
CP_201708,B,2,Pycnococcus provasolii,3
CP_201708,B,2,Pythium tracheiphilum,10
CP_201708,B,2,Rhizosolenia setigera,48
CP_201708,B,2,Styela gibbsii,23
CP_201708,B,2,Thalassiosira nordenskioeldii,207
CP_201708,B,2,Triparma laevis,3
CP_201708,B,2,NA,5573
CP_201708,B,3,Acartia longiremis,433
CP_201708,B,3,Asterionellopsis glacialis,10
CP_201708,B,3,Attheya longicornis,8
CP_201708,B,3,Bathycoccus prasinos,86
CP_201708,B,3,Bougainvillia muscus,11
CP_201708,B,3,Chaetoceros socialis,30
CP_201708,B,3,Chaetoceros sp. MBTD-CMFRI-S062,216
CP_201708,B,3,Chattonella subsalsa,5
CP_201708,B,3,Cylindrotheca closterium,5
CP_201708,B,3,Dictyocha speculum,79
CP_201708,B,3,Heterocapsa rotundata,22
CP_201708,B,3,Membranipora membranacea,8
CP_201708,B,3,Micromonas pusilla,207
CP_201708,B,3,Minutocellus polymorphus,462
CP_201708,B,3,Mytilus trossulus,2
CP_201708,B,3,Phaeocystis antarctica,1025
CP_201708,B,3,Phaeocystis globosa,6
CP_201708,B,3,Pseudo-nitzschia hasleana,9
CP_201708,B,3,Pseudocalanus newmani,1529
CP_201708,B,3,Pythium tracheiphilum,71
CP_201708,B,3,Rhizosolenia setigera,50
CP_201708,B,3,Sellaphora bacillum,21
CP_201708,B,3,Stephanopyxis turris,3
CP_201708,B,3,Styela gibbsii,21
CP_201708,B,3,Thalassiosira nordenskioeldii,153
CP_201708,B,3,Triparma laevis,8
CP_201708,B,3,NA,4521
CP_201708,C,1,Acartia longiremis,190
CP_201708,C,1,Arca avellana,23
CP_201708,C,1,Asterionellopsis glacialis,24
CP_201708,C,1,Attheya longicornis,38
CP_201708,C,1,Bathycoccus prasinos,323
CP_201708,C,1,Blastocladiella emersonii,6
CP_201708,C,1,Bougainvillia muscus,4
CP_201708,C,1,Chaetoceros socialis,272
CP_201708,C,1,Chaetoceros sp. MBTD-CMFRI-S062,635
CP_201708,C,1,Chattonella subsalsa,16
CP_201708,C,1,Chrysochromulina sp. CCMP291,18
CP_201708,C,1,Coscinodiscus wailesii,20
CP_201708,C,1,Dictyocha speculum,225
CP_201708,C,1,Eucampia zodiacus,4
CP_201708,C,1,Glycera sp. CMC03,4957
CP_201708,C,1,Heterocapsa rotundata,6
CP_201708,C,1,Loxothylacus panopaei,34
CP_201708,C,1,Macoma nasuta,21
CP_201708,C,1,Mazzaella splendens,8
CP_201708,C,1,Micromonas pusilla,1126
CP_201708,C,1,Minutocellus polymorphus,2425
CP_201708,C,1,Phaeocystis antarctica,4905
CP_201708,C,1,Phaeocystis globosa,25
CP_201708,C,1,Proboscidactyla flavicirrata,2
CP_201708,C,1,Pseudo-nitzschia delicatissima,10
CP_201708,C,1,Pseudo-nitzschia hasleana,88
CP_201708,C,1,Pseudocalanus newmani,3017
CP_201708,C,1,Pseudochattonella farcimen,13
CP_201708,C,1,Pycnococcus provasolii,19
CP_201708,C,1,Pythium tracheiphilum,48
CP_201708,C,1,Rhizosolenia setigera,156
CP_201708,C,1,Sellaphora bacillum,50
CP_201708,C,1,Styela gibbsii,5141
CP_201708,C,1,Thalassiosira nordenskioeldii,1236
CP_201708,C,1,Triparma laevis,17
CP_201708,C,1,NA,25798
CP_201708,C,2,Acartia longiremis,43
CP_201708,C,2,Arca avellana,26
CP_201708,C,2,Asterionellopsis glacialis,19
CP_201708,C,2,Asterionellopsis guyunusae,6
CP_201708,C,2,Attheya longicornis,75
CP_201708,C,2,Azumapecten farreri,5
CP_201708,C,2,Bathycoccus prasinos,214
CP_201708,C,2,Chaetoceros socialis,163
CP_201708,C,2,Chaetoceros sp. MBTD-CMFRI-S062,835
CP_201708,C,2,Chattonella subsalsa,28
CP_201708,C,2,Chrysochromulina sp. CCMP291,41
CP_201708,C,2,Coscinodiscus wailesii,25
CP_201708,C,2,Dictyocha speculum,336
CP_201708,C,2,Eucampia zodiacus,6
CP_201708,C,2,Glycera sp. CMC03,7630
CP_201708,C,2,Heterocapsa rotundata,6
CP_201708,C,2,Hincksia hincksiae,3
CP_201708,C,2,Loxothylacus panopaei,39
CP_201708,C,2,Macoma nasuta,49
CP_201708,C,2,Membranipora membranacea,16
CP_201708,C,2,Micromonas pusilla,1389
CP_201708,C,2,Minutocellus polymorphus,5377
CP_201708,C,2,Mytilus trossulus,9
CP_201708,C,2,Paracalanus sp. C AC-2013,21
CP_201708,C,2,Phaeocystis antarctica,9413
CP_201708,C,2,Phaeocystis globosa,25
CP_201708,C,2,Protoperidinium cf. depressum,9
CP_201708,C,2,Pseudo-nitzschia delicatissima,6
CP_201708,C,2,Pseudo-nitzschia hasleana,98
CP_201708,C,2,Pseudocalanus newmani,7129
CP_201708,C,2,Pycnococcus provasolii,17
CP_201708,C,2,Pythium tracheiphilum,38
CP_201708,C,2,Rhizosolenia setigera,164
CP_201708,C,2,Sellaphora bacillum,45
CP_201708,C,2,Styela gibbsii,8071
CP_201708,C,2,Thalassiosira nordenskioeldii,1614
CP_201708,C,2,Thalassiosira punctigera,12
CP_201708,C,2,Triparma laevis,5
CP_201708,C,2,NA,45938
CP_201708,C,3,Acartia longiremis,20
CP_201708,C,3,Asterionellopsis glacialis,4
CP_201708,C,3,Attheya longicornis,12
CP_201708,C,3,Bathycoccus prasinos,138
CP_201708,C,3,Bougainvillia muscus,4
CP_201708,C,3,Chaetoceros socialis,39
CP_201708,C,3,Chaetoceros sp. MBTD-CMFRI-S062,78
CP_201708,C,3,Chattonella subsalsa,4
CP_201708,C,3,Chrysochromulina sp. CCMP291,14
CP_201708,C,3,Dictyocha speculum,90
CP_201708,C,3,Glycera sp. CMC03,933
CP_201708,C,3,Micromonas pusilla,159
CP_201708,C,3,Minutocellus polymorphus,691
CP_201708,C,3,Paracalanus sp. C AC-2013,5
CP_201708,C,3,Phaeocystis antarctica,779
CP_201708,C,3,Phaeocystis globosa,8
CP_201708,C,3,Pseudo-nitzschia hasleana,15
CP_201708,C,3,Pseudocalanus newmani,667
CP_201708,C,3,Pythium tracheiphilum,15
CP_201708,C,3,Rhizosolenia setigera,36
CP_201708,C,3,Sellaphora bacillum,33
CP_201708,C,3,Styela gibbsii,546
CP_201708,C,3,Thalassiosira nordenskioeldii,324
CP_201708,C,3,NA,4734
CP_201709,A,1,Bathycoccus prasinos,13413
CP_201709,A,1,Blastocladiella emersonii,4
CP_201709,A,1,Bougainvillia muscus,727
CP_201709,A,1,Chondracanthus exasperatus,10
CP_201709,A,1,Coryne eximia,55
CP_201709,A,1,Coscinodiscus wailesii,34
CP_201709,A,1,Emiliania huxleyi,317
CP_201709,A,1,Heterocapsa rotundata,780
CP_201709,A,1,Mazzaella splendens,100
CP_201709,A,1,Membranipora membranacea,29
CP_201709,A,1,Micromonas pusilla,5383
CP_201709,A,1,Minutocellus polymorphus,3284
CP_201709,A,1,Phaeocystis antarctica,599
CP_201709,A,1,Phaeocystis globosa,49
CP_201709,A,1,Plumularia lagenifera,17
CP_201709,A,1,Polyneura latissima,62
CP_201709,A,1,Pycnococcus provasolii,334
CP_201709,A,1,Pythium tracheiphilum,40
CP_201709,A,1,Rhizosolenia setigera,3
CP_201709,A,1,Thalassiosira nordenskioeldii,1669
CP_201709,A,1,NA,18943
CP_201709,A,2,Bathycoccus prasinos,10863
CP_201709,A,2,Bougainvillia muscus,323
CP_201709,A,2,Chrysochromulina sp. CCMP291,35
CP_201709,A,2,Coryne eximia,98
CP_201709,A,2,Coscinodiscus wailesii,18
CP_201709,A,2,Dictyocha speculum,159
CP_201709,A,2,Emiliania huxleyi,40
CP_201709,A,2,Halichondria panicea,36
CP_201709,A,2,Heterocapsa rotundata,318
CP_201709,A,2,Mazzaella rosea,9
CP_201709,A,2,Micromonas pusilla,4491
CP_201709,A,2,Minutocellus polymorphus,2371
CP_201709,A,2,Navicula cryptocephala,3
CP_201709,A,2,Phaeocystis antarctica,48
CP_201709,A,2,Phaeocystis globosa,46
CP_201709,A,2,Polyneura latissima,13
CP_201709,A,2,Protoperidinium cf. depressum,21
CP_201709,A,2,Pythium tracheiphilum,59
CP_201709,A,2,Thalassiosira nordenskioeldii,1081
CP_201709,A,2,NA,12665
CP_201709,A,3,Azumapecten farreri,98
CP_201709,A,3,Bathycoccus prasinos,21084
CP_201709,A,3,Bougainvillia muscus,915
CP_201709,A,3,Chrysochromulina sp. CCMP291,3
CP_201709,A,3,Coryne eximia,2
CP_201709,A,3,Coscinodiscus wailesii,78
CP_201709,A,3,Dendraster excentricus,4
CP_201709,A,3,Emiliania huxleyi,206
CP_201709,A,3,Heterocapsa rotundata,1368
CP_201709,A,3,Micromonas pusilla,8094
CP_201709,A,3,Minutocellus polymorphus,2940
CP_201709,A,3,Phaeocystis antarctica,71
CP_201709,A,3,Phaeocystis globosa,42
CP_201709,A,3,Plumularia lagenifera,5
CP_201709,A,3,Polyneura latissima,28
CP_201709,A,3,Protoperidinium cf. depressum,17
CP_201709,A,3,Pseudochattonella farcimen,8
CP_201709,A,3,Pycnococcus provasolii,111
CP_201709,A,3,Pythium tracheiphilum,19
CP_201709,A,3,Rhizosolenia setigera,23
CP_201709,A,3,Thalassiosira nordenskioeldii,642
CP_201709,A,3,NA,18259
CP_201709,B,1,Attheya longicornis,12
CP_201709,B,1,Bathycoccus prasinos,6247
CP_201709,B,1,Blastocladiella emersonii,6
CP_201709,B,1,Campanularia volubilis,38
CP_201709,B,1,Chattonella subsalsa,27
CP_201709,B,1,Coscinodiscus wailesii,68
CP_201709,B,1,Cylindrotheca closterium,29
CP_201709,B,1,Heterocapsa rotundata,203
CP_201709,B,1,Micromonas pusilla,2602
CP_201709,B,1,Minutocellus polymorphus,1058
CP_201709,B,1,Paracalanus sp. C AC-2013,10
CP_201709,B,1,Phaeocystis antarctica,73
CP_201709,B,1,Phaeocystis globosa,8
CP_201709,B,1,Polysiphonia hendryi,20
CP_201709,B,1,Pseudocalanus newmani,408
CP_201709,B,1,Pycnococcus provasolii,26
CP_201709,B,1,Thalassiosira nordenskioeldii,404
CP_201709,B,1,NA,5833
CP_201709,B,2,Anisolpidium ectocarpii,25
CP_201709,B,2,Bathycoccus prasinos,17155
CP_201709,B,2,Blastocladiella emersonii,3
CP_201709,B,2,Campanularia volubilis,17
CP_201709,B,2,Coscinodiscus wailesii,56
CP_201709,B,2,Cylindrotheca closterium,18
CP_201709,B,2,Emiliania huxleyi,65
CP_201709,B,2,Halichondria panicea,12
CP_201709,B,2,Heterocapsa rotundata,191
CP_201709,B,2,Homo sapiens,48
CP_201709,B,2,Mazzaella splendens,116
CP_201709,B,2,Membranipora membranacea,9
CP_201709,B,2,Micromonas pusilla,3686
CP_201709,B,2,Minutocellus polymorphus,2114
CP_201709,B,2,Nitzschia cf. promare,14
CP_201709,B,2,Paracalanus sp. C AC-2013,6
CP_201709,B,2,Pedospumella sinomuralis,16
CP_201709,B,2,Phaeocystis antarctica,449
CP_201709,B,2,Phaeocystis globosa,20
CP_201709,B,2,Pseudocalanus newmani,505
CP_201709,B,2,Pycnococcus provasolii,148
CP_201709,B,2,Pythium tracheiphilum,166
CP_201709,B,2,Ralfsioid sp. 4GWS,15
CP_201709,B,2,Rhizosolenia setigera,7
CP_201709,B,2,Thalassiosira nordenskioeldii,998
CP_201709,B,2,NA,11804
CP_201709,B,3,Anisolpidium ectocarpii,51
CP_201709,B,3,Bathycoccus prasinos,17217
CP_201709,B,3,Blastocladiella emersonii,21
CP_201709,B,3,Campanularia volubilis,10
CP_201709,B,3,Coscinodiscus wailesii,174
CP_201709,B,3,Cylindrotheca closterium,37
CP_201709,B,3,Emiliania huxleyi,13
CP_201709,B,3,Heterocapsa rotundata,364
CP_201709,B,3,Micromonas pusilla,2990
CP_201709,B,3,Minutocellus polymorphus,4892
CP_201709,B,3,Nitzschia cf. promare,5
CP_201709,B,3,Orthopyxis integra,16
CP_201709,B,3,Phaeocystis antarctica,53
CP_201709,B,3,Phaeocystis globosa,61
CP_201709,B,3,Plumularia lagenifera,11
CP_201709,B,3,Polysiphonia hendryi,2
CP_201709,B,3,Poteriospumella lacustris,2
CP_201709,B,3,Pseudocalanus newmani,529
CP_201709,B,3,Pseudochattonella farcimen,18
CP_201709,B,3,Pythium tracheiphilum,70
CP_201709,B,3,Sarcodiotheca sp. 2gaudichaudii,43
CP_201709,B,3,Stelligera rigida,97
CP_201709,B,3,Thalassiosira nordenskioeldii,393
CP_201709,B,3,NA,10208
CP_201709,C,1,Bathycoccus prasinos,11151
CP_201709,C,1,Blastocladiella emersonii,13
CP_201709,C,1,Chrysochromulina sp. CCMP291,73
CP_201709,C,1,Coryne eximia,9
CP_201709,C,1,Coscinodiscus wailesii,19
CP_201709,C,1,Dolichomastix tenuilepis,28
CP_201709,C,1,Emiliania huxleyi,63
CP_201709,C,1,Eunice valens,456
CP_201709,C,1,Heterocapsa rotundata,476
CP_201709,C,1,Micromonas pusilla,4138
CP_201709,C,1,Minutocellus polymorphus,3125
CP_201709,C,1,Navicula ramosissima,13
CP_201709,C,1,Nitzschia cf. promare,10
CP_201709,C,1,Phaeocystis antarctica,169
CP_201709,C,1,Phaeocystis globosa,44
CP_201709,C,1,Pseudocalanus newmani,655
CP_201709,C,1,Pycnococcus provasolii,13
CP_201709,C,1,Pythium tracheiphilum,90
CP_201709,C,1,Saprolegnia diclina,3
CP_201709,C,1,Thalassiosira nordenskioeldii,1035
CP_201709,C,1,NA,14185
CP_201709,C,3,Bathycoccus prasinos,16291
CP_201709,C,3,Coscinodiscus wailesii,27
CP_201709,C,3,Dictyocha speculum,29
CP_201709,C,3,Emiliania huxleyi,97
CP_201709,C,3,Eunice valens,385
CP_201709,C,3,Heterocapsa rotundata,751
CP_201709,C,3,Mazzaella splendens,20
CP_201709,C,3,Micromonas pusilla,6211
CP_201709,C,3,Minutocellus polymorphus,4073
CP_201709,C,3,Paracalanus sp. C AC-2013,9
CP_201709,C,3,Phacellophora camtschatica,30
CP_201709,C,3,Phaeocystis antarctica,214
CP_201709,C,3,Phaeocystis globosa,60
CP_201709,C,3,Protoperidinium cf. depressum,11
CP_201709,C,3,Pseudocalanus newmani,917
CP_201709,C,3,Pseudochattonella farcimen,69
CP_201709,C,3,Pycnococcus provasolii,58
CP_201709,C,3,Pythium tracheiphilum,67
CP_201709,C,3,Skeletonema cf. pseudocostatum,6
CP_201709,C,3,Skeletonema dohrnii,2
CP_201709,C,3,Thalassiosira nordenskioeldii,1325
CP_201709,C,3,Thelepus cincinnatus,35
CP_201709,C,3,NA,17924
CP_201710,A,1,Balanus glandula,57
CP_201710,A,1,Bathycoccus prasinos,1290
CP_201710,A,1,Blastocladiella emersonii,2
CP_201710,A,1,Boccardia proboscidea,13
CP_201710,A,1,Callophyllis flabellulata,3
CP_201710,A,1,Chattonella subsalsa,52
CP_201710,A,1,Devaleraea mollis,7
CP_201710,A,1,Dictyocha speculum,6
CP_201710,A,1,Ditylum brightwellii,6
CP_201710,A,1,Euclymene sp. BOLD:ACG1020,2
CP_201710,A,1,Fucus distichus,25
CP_201710,A,1,Hecatonema maculans,8
CP_201710,A,1,Heterocapsa rotundata,81
CP_201710,A,1,Hildenbrandia sp. 27GWS,66
CP_201710,A,1,Homo sapiens,33
CP_201710,A,1,Lottia paradigitalis,25
CP_201710,A,1,Mastocarpus alaskensis,92
CP_201710,A,1,Mazzaella splendens,10
CP_201710,A,1,Membranipora membranacea,6
CP_201710,A,1,Micromonas pusilla,598
CP_201710,A,1,Minutocellus polymorphus,2414
CP_201710,A,1,Muggiaea atlantica,4
CP_201710,A,1,Nereocystis luetkeana,15
CP_201710,A,1,Oncorhynchus keta,9
CP_201710,A,1,Penicillium sclerotiorum,30
CP_201710,A,1,Phaeocystis antarctica,36
CP_201710,A,1,Phaeocystis globosa,22
CP_201710,A,1,Protoperidinium cf. depressum,49
CP_201710,A,1,Pseudochattonella farcimen,55
CP_201710,A,1,Pycnococcus provasolii,10
CP_201710,A,1,Pythium tracheiphilum,49
CP_201710,A,1,Rhizosolenia setigera,87
CP_201710,A,1,Sellaphora pupula,6
CP_201710,A,1,Smithora naiadum,4
CP_201710,A,1,Thalassiosira nordenskioeldii,592
CP_201710,A,1,Thelepus crispus,10
CP_201710,A,1,NA,7723
CP_201710,A,2,Attheya longicornis,10
CP_201710,A,2,Bathycoccus prasinos,11357
CP_201710,A,2,Blastocladiella emersonii,112
CP_201710,A,2,Boccardia proboscidea,70
CP_201710,A,2,Callophyllis flabellulata,39
CP_201710,A,2,Chaetoceros socialis,16
CP_201710,A,2,Chattonella subsalsa,248
CP_201710,A,2,Chrysaora melanaster,9
CP_201710,A,2,Chrysochromulina sp. CCMP291,47
CP_201710,A,2,Coscinodiscus wailesii,9
CP_201710,A,2,Cylindrotheca closterium,10
CP_201710,A,2,Devaleraea mollis,94
CP_201710,A,2,Dictyocha speculum,71
CP_201710,A,2,Ditylum brightwellii,135
CP_201710,A,2,Emiliania huxleyi,42
CP_201710,A,2,Euclymene sp. BOLD:ACG1020,47
CP_201710,A,2,Fucus distichus,395
CP_201710,A,2,Halichondria panicea,30
CP_201710,A,2,Hecatonema maculans,65
CP_201710,A,2,Heterocapsa rotundata,475
CP_201710,A,2,Hildenbrandia sp. 27GWS,346
CP_201710,A,2,Homo sapiens,12
CP_201710,A,2,Laminariocolax aecidioides,9
CP_201710,A,2,Littorina sitkana,20
CP_201710,A,2,Lottia paradigitalis,380
CP_201710,A,2,Mastocarpus alaskensis,770
CP_201710,A,2,Mazzaella sp. GWS-2013b,25
CP_201710,A,2,Mazzaella splendens,70
CP_201710,A,2,Membranipora membranacea,22
CP_201710,A,2,Microcladia coulteri,49
CP_201710,A,2,Micromonas pusilla,2585
CP_201710,A,2,Minutocellus polymorphus,11832
CP_201710,A,2,Muggiaea atlantica,9
CP_201710,A,2,Navicula sp. BOLD:AAO6951,10
CP_201710,A,2,Neorhodomela oregona,12
CP_201710,A,2,Nereocystis luetkeana,164
CP_201710,A,2,Oncorhynchus keta,49
CP_201710,A,2,Orthopyxis integra,5
CP_201710,A,2,Paracalanus sp. C AC-2013,3
CP_201710,A,2,Penicillium sclerotiorum,25
CP_201710,A,2,Phaeocystis antarctica,177
CP_201710,A,2,Phaeocystis globosa,121
CP_201710,A,2,Poteriospumella lacustris,37
CP_201710,A,2,Prionitis sternbergii,23
CP_201710,A,2,Protoperidinium cf. depressum,142
CP_201710,A,2,Pseudocalanus newmani,10
CP_201710,A,2,Pseudochattonella farcimen,983
CP_201710,A,2,Pycnococcus provasolii,10
CP_201710,A,2,Pyropia perforata,52
CP_201710,A,2,Pythium acanthicum,12
CP_201710,A,2,Pythium tracheiphilum,330
CP_201710,A,2,Ralfsioid sp. 4GWS,21
CP_201710,A,2,Rhizosolenia setigera,297
CP_201710,A,2,Sellaphora pupula,17
CP_201710,A,2,Smithora naiadum,46
CP_201710,A,2,Thalassiosira nordenskioeldii,4758
CP_201710,A,2,Thelepus crispus,215
CP_201710,A,2,Thelepus sp. CMC01,67
CP_201710,A,2,Triparma laevis,8
CP_201710,A,2,Wildemania sp. 5POR,25
CP_201710,A,2,NA,51406
CP_201710,A,3,Bathycoccus prasinos,6053
CP_201710,A,3,Blastocladiella emersonii,2
CP_201710,A,3,Boccardia proboscidea,20
CP_201710,A,3,Chattonella subsalsa,32
CP_201710,A,3,Chrysochromulina sp. CCMP291,6
CP_201710,A,3,Devaleraea mollis,25
CP_201710,A,3,Dictyocha speculum,43
CP_201710,A,3,Emiliania huxleyi,2
CP_201710,A,3,Euclymene sp. BOLD:ACG1020,2
CP_201710,A,3,Fucus distichus,160
CP_201710,A,3,Halichondria panicea,2
CP_201710,A,3,Hecatonema maculans,16
CP_201710,A,3,Heterocapsa rotundata,246
CP_201710,A,3,Hildenbrandia sp. 27GWS,89
CP_201710,A,3,Homo sapiens,2
CP_201710,A,3,Mastocarpus alaskensis,1162
CP_201710,A,3,Mazzaella splendens,10
CP_201710,A,3,Membranipora membranacea,4
CP_201710,A,3,Mesocentrotus franciscanus,15
CP_201710,A,3,Micromonas pusilla,486
CP_201710,A,3,Minutocellus polymorphus,1456
CP_201710,A,3,Nereocystis luetkeana,94
CP_201710,A,3,Nicolea zostericola,2
CP_201710,A,3,Oncorhynchus keta,22
CP_201710,A,3,Penicillium sclerotiorum,4
CP_201710,A,3,Phaeocystis antarctica,8
CP_201710,A,3,Phaeocystis globosa,36
CP_201710,A,3,Poteriospumella lacustris,8
CP_201710,A,3,Prionitis sternbergii,4
CP_201710,A,3,Protoperidinium cf. depressum,50
CP_201710,A,3,Pseudochattonella farcimen,117
CP_201710,A,3,Pycnococcus provasolii,18
CP_201710,A,3,Pyramimonas parkeae,13
CP_201710,A,3,Pyropia perforata,8
CP_201710,A,3,Pythium tracheiphilum,47
CP_201710,A,3,Ralfsioid sp. 4GWS,5
CP_201710,A,3,Rhizosolenia setigera,85
CP_201710,A,3,Sellaphora pupula,4
CP_201710,A,3,Smithora naiadum,11
CP_201710,A,3,Thalassiosira nordenskioeldii,937
CP_201710,A,3,Thelepus crispus,44
CP_201710,A,3,NA,18094
CP_201710,B,1,Bathycoccus prasinos,3395
CP_201710,B,1,Boccardia proboscidea,142
CP_201710,B,1,Chattonella subsalsa,65
CP_201710,B,1,Devaleraea mollis,5
CP_201710,B,1,Dictyocha speculum,10
CP_201710,B,1,Emiliania huxleyi,4
CP_201710,B,1,Eunice valens,320
CP_201710,B,1,Fucus distichus,16
CP_201710,B,1,Halichondria panicea,32
CP_201710,B,1,Haliclystus sanjuanensis,57
CP_201710,B,1,Heterocapsa rotundata,74
CP_201710,B,1,Hildenbrandia sp. 27GWS,58
CP_201710,B,1,Homo sapiens,225
CP_201710,B,1,Littorina scutulata,3
CP_201710,B,1,Lottia paradigitalis,5
CP_201710,B,1,Mastocarpus alaskensis,35
CP_201710,B,1,Mazzaella splendens,8
CP_201710,B,1,Micromonas pusilla,542
CP_201710,B,1,Minutocellus polymorphus,3687
CP_201710,B,1,Naineris dendritica CMC02,6
CP_201710,B,1,Navicula ramosissima,3
CP_201710,B,1,Nereis vexillosa,40
CP_201710,B,1,Nereocystis luetkeana,8
CP_201710,B,1,Oncorhynchus keta,6
CP_201710,B,1,Phaeocystis antarctica,28
CP_201710,B,1,Phaeocystis globosa,17
CP_201710,B,1,Prionitis sternbergii,27
CP_201710,B,1,Pseudocalanus newmani,455
CP_201710,B,1,Pseudochattonella farcimen,10
CP_201710,B,1,Pycnococcus provasolii,37
CP_201710,B,1,Pyropia perforata,5
CP_201710,B,1,Pythium tracheiphilum,45
CP_201710,B,1,Ralfsioid sp. 4GWS,42
CP_201710,B,1,Rhizosolenia setigera,39
CP_201710,B,1,Semibalanus cariosus,30
CP_201710,B,1,Thalassiosira nordenskioeldii,830
CP_201710,B,1,Thelepus crispus,147
CP_201710,B,1,Thelepus sp. CMC01,10
CP_201710,B,1,Urile penicillatus,30
CP_201710,B,1,NA,14431
CP_201710,B,2,Amathia vidovici,7
CP_201710,B,2,Balanus glandula,33
CP_201710,B,2,Bathycoccus prasinos,3485
CP_201710,B,2,Blastocladiella emersonii,7
CP_201710,B,2,Callophyllis flabellulata,2
CP_201710,B,2,Chattonella subsalsa,143
